day,tx_count,sum_sent,sum_fees
2017-05-19,4444,536859.67753441,0.05945310
2017-05-20,8704,924422.75503445,18.47093228
2017-05-21,3749,341388.43581433,0.10147811
2017-05-22,8267,880425.59830857,11.74416259
2017-05-23,3910,396075.11979707,0.06096756
2017-05-24,7850,764883.80365068,7.46015114
2017-05-25,3846,181672.14072095,0.06154849
2017-05-26,8576,646449.66935873,9.90539609
2017-05-27,3553,120235.44211198,0.32406888
2017-05-28,8427,599076.28406005,5.85073629
2017-05-29,3575,130126.45329869,0.10554287
2017-05-30,7798,639844.65611776,4.87619850
2017-05-31,3590,113684.20934587,0.00779292
2017-06-01,8128,555011.81369645,3.58199051
2017-06-02,4439,163551.73510029,0.11424657
2017-06-03,7824,563158.53899403,7.35131322
2017-06-04,3760,156758.08027634,0.04552770
2017-06-05,8647,495758.74146941,5.01730534
2017-06-06,3605,139846.10280429,0.02359428
2017-06-07,8080,545515.16120288,3.25459573
2017-06-08,3868,151918.33927880,0.13009366
2017-06-09,8298,687935.61043011,2.06996050
2017-06-10,3905,172040.86926430,0.21882750
2017-06-11,7901,485219.71410632,0.34616803
2017-06-12,3965,142323.27954848,0.12691418
2017-06-13,7496,415671.07118254,2.83639465
2017-06-14,3553,118377.20097831,0.14006604
2017-06-15,8312,477774.89575311,3.93073222
2017-06-16,4358,144111.83950846,0.03754107
2017-06-17,7914,424896.34273431,6.89251318
2017-06-18,4139,171883.88014595,0.10762572
2017-06-19,8371,472385.16269753,3.77869281
2017-06-20,3605,163502.98325166,0.06986963
2017-06-21,8633,479976.50793529,13.37877022
2017-06-22,3602,166854.05102107,0.20514137
2017-06-23,8746,531752.51500760,16.02979436
2017-06-24,4065,166480.47488217,0.11971343
2017-06-25,8231,484689.42145406,2.59933041
2017-06-26,3931,156125.19335604,0.44320399
2017-06-27,8393,500072.11972771,2.13032877
2017-06-28,4421,163766.07421213,0.12323208
2017-06-29,9048,505776.88108912,5.65261258
2017-06-30,4319,158577.68024408,0.20880515
2017-07-01,7474,566930.20518494,0.65857665
2017-07-02,3740,141448.42556137,0.09082465
2017-07-03,7590,469955.70801443,0.28387116
2017-07-04,4272,182473.89437028,0.12812976
2017-07-05,5904,367253.07722063,0.08996278
2017-07-06,6000,324934.11262637,0.03540343
2017-07-07,5553,308185.75789874,0.08331634
2017-07-08,6321,374321.70868416,0.29702590
2017-07-09,5547,324118.21179037,0.16952312
2017-07-10,5935,368968.77177261,0.65399215
2017-07-11,5845,804347.86654083,0.30611072
2017-07-12,5484,509394.48743623,0.37007105
2017-07-13,6182,374386.36436832,0.27870816
2017-07-14,5193,320842.91531324,0.11938993
2017-07-15,5504,286921.31544831,0.07615302
2017-07-16,7215,488326.73643077,0.22260800
2017-07-17,6332,343077.09031621,0.11160125
2017-07-18,7133,912228.99235594,0.32729116
2017-07-19,7391,659115.97928588,0.08768331
2017-07-20,6699,585155.71257894,0.09024611
2017-07-21,6761,384968.28064815,0.07701750
2017-07-22,6193,340931.03525870,0.06127589
2017-07-23,6080,317756.83127897,0.07608130
2017-07-24,6222,326085.74701961,0.02649342
2017-07-25,5842,326106.72041703,0.09565427
2017-07-26,6307,417973.43209908,0.17338052
2017-07-27,7307,1676752.94302803,0.07574975
2017-07-28,6446,337436.30608531,0.14432491
2017-07-29,6116,353394.02760622,0.03558184
2017-07-30,6871,832752.52449365,0.07246289
2017-07-31,6929,574001.38250996,0.32569209
2017-08-01,5977,358518.30236105,0.03225337
2017-08-02,6831,355346.96981955,0.03810860
2017-08-03,6058,316391.24602806,0.03442244
2017-08-04,6218,340749.15483027,0.04274040
2017-08-05,6815,381352.83777402,0.04124939
2017-08-06,6113,511730.97469153,0.19987119
2017-08-07,6872,625267.72014638,0.08740262
2017-08-08,7295,572719.01979529,0.07438340
2017-08-09,6984,464673.76489170,0.09608407
2017-08-10,6367,383306.40612814,0.03826602
2017-08-11,6329,396432.68947150,0.01925744
2017-08-12,6136,458614.76834241,0.15435417
2017-08-13,6381,681949.88035133,0.02534808
2017-08-14,6946,715833.31108816,0.24733804
2017-08-15,6901,723250.16659238,0.09858106
2017-08-16,6817,622388.81053724,1.26005818
2017-08-17,5509,420085.68554827,0.06396677
2017-08-18,6166,649443.11726069,0.07474898
2017-08-19,6655,729232.51122225,0.06955270
2017-08-20,6426,489012.48743198,0.03591285
2017-08-21,6059,465512.59384379,0.09538697
2017-08-22,6046,470053.24018931,0.06880842
2017-08-23,7020,507955.33429726,0.10920841
2017-08-24,6625,500546.70653992,0.24919716
2017-08-25,5509,418272.53299062,0.10770878
2017-08-26,6262,493530.61266580,0.15993953
2017-08-27,7755,724132.15372903,0.13823690
2017-08-28,6591,451653.16491987,0.13506026
2017-08-29,7121,567315.24769129,0.14942997
2017-08-30,5488,967776.70835588,0.15744010
2017-08-31,6178,4943566.31401479,0.03944809
2017-09-01,6224,2298679.91931027,0.10267129
2017-09-02,4780,455621.21779069,0.04687621
2017-09-03,5081,403832.50333679,0.00091861
2017-09-04,5455,482174.13363145,0.03292618
2017-09-05,5195,423978.02119112,0.04361098
2017-09-06,4480,348790.04586334,0.00293583
2017-09-07,5589,463764.49541565,0.01085868
2017-09-08,4933,575867.66982613,0.04874709
2017-09-09,4851,463486.56470539,0.01429799
2017-09-10,4926,369051.26394499,0.02202425
2017-09-11,5313,416023.48122119,0.12979696
2017-09-12,5320,399001.90689731,0.10550241
2017-09-13,5258,460218.47183621,0.19254139
2017-09-14,4978,405990.91617189,0.01636791
2017-09-15,5762,412459.09516876,0.06410428
