day,circulation_coins,staked_coins
485,548209337432012,205511608238203
486,548938158092096,205844555361460
487,549664472491333,206121042772881
488,550378756838396,207338924964436
489,551149202273024,207332507455159
490,551858399654706,208534740977624
491,552498612826414,207439993175746
492,553167114487102,207123848844616
493,553895170861439,206523338335471
494,554681789370868,205408099202143
495,555359720527886,203683761431555
496,556037651684905,203234678747089
497,556761241455720,201763904519513
498,557438676323457,201298881799668
499,558205443261662,200132761874611
500,558816375365822,199635064085391
501,559595053246762,198776519610356
502,560340976035196,199218805436830
503,561006003670925,198178444674047
504,561704778977720,198760900161940
505,562401569127399,198094029497967
506,563121188583973,198678359972835
507,563882992629382,198134505859870
508,564661670510320,199477328253170
509,565255232489673,198277098864749
510,565917778678997,202407869053820
511,566739493684676,203453481896775
512,567419557410702,205306128170938
513,568106009018557,203784981043706
514,568846511934111,205201643075670
515,569533454917487,206571251528898
516,570245458052609,207956111047287
517,570908323635264,210112460242384
518,571621800896919,211386971131612
519,572303830125016,212140168134711
520,572987824855215,214515125509058
521,573745525914101,213708492306832
522,574361219446410,213994364695524
523,575051602058456,214476580663296
524,575800949733447,214148423899082
525,576496246100732,216589358339378
526,577214637117672,217984759747576
527,577889787088459,219433342265676
528,578551669920077,222998811065064
529,579299052092980,227800365601634
530,579987960578453,228294281708423
531,580720110110093,228143036065582
532,581441193962384,228433473730818
533,582119389488698,227392626364919
534,582833586786132,226791805831619
535,583517133927073,226712991011307
536,584218681953573,230514575220282
537,584848226437827,231442975151015
538,585591127850080,231870830564253
539,586294135407843,231764491851297
540,586947032392285,233280448734437
541,587702583075472,234271817914960
542,588376886518422,233955722429647
543,589078434544924,233585555619585
544,589817443873811,233901814467679
545,590428987472502,234318592869976
546,591152428467929,234861913912138
547,591857382067374,236444839760679
548,592612932750559,236991584314059
549,593285776662246,237653429705184
550,593966404740663,238460961710180
551,594636329589826,239555413532440
552,595323282303708,239607653880586
553,596063267061743,239688532612159
554,596741491488899,240319640211363
555,597444763977203,242135523425806
556,598038210350963,242963448286042
557,598756415337389,242754184963714
558,599452462423495,242615944314593
559,600193788697213,243839678037101
560,600810838051743,244493915659564
561,601466422885089,245068853320859
562,602239059235337,245986690912775
563,602961599463117,246892904977522
564,603570460028401,246966597197518
565,604200033413547,247198794458506
566,604978450085615,246003374214780
567,605663418221559,247975083379077
568,606430755943473,248654553866598
569,607023238930257,248679143990815
570,607742888997137,249408112654497
571,608498666075403,252023764252984
572,609121014058275,254683914704400
573,609850297994867,254693790104014
574,610568777212749,254693611649360
575,611284163577542,254335135134882
576,611862195760298,254490126211525
577,612629566867601,255025703480920
578,613264353035293,255383533674527
579,613903431521174,255857251722949
580,614601648613214,257429110073870
581,615287465674926,257720823130850
582,616018590539743,257624343897577
583,616671499828671,258557220213134
584,617332993753980,259522588273528
585,618091780224904,260489065373375
586,618735627953216,260326005113915
587,619393783408821,259983367041985
588,620040492682593,260492506563179
589,620743002092817,260750620220854
590,621487003912203,263215289644826
591,622151836307212,264535751900662
592,622759437793044,264311394942328
593,623449070248705,263917593317728
594,624225979840869,263327351197428
595,624874596811614,263454552334054
596,625561941447132,263622563885204
597,626185248378316,263712062209565
598,626885524271461,263470875204162
599,627617909915604,264316263942866
600,628196829838054,264699244243734
601,628953769997669,265136153603346
602,629604936859872,264856381044330
603,630249965093204,265884883106393
604,630952601997452,267357767766071
605,631593852613020,267507232854678
606,632308766775002,267278665821869
607,633021319925883,267733296942269
608,633646043463730,266949048998735
609,634277377832667,266284858668793
610,634957821232544,265118007471895
611,635622209756923,264975126989635
612,636350817783302,265108414542824
613,636999623634400,268418974053408
614,637657401327687,270988891650870
615,638297235336592,271275274317839
616,638984289567561,270555056574777
617,639722844229653,270486987813539
618,640382524757230,269979247644872
619,640997322697531,269456631983748
620,641705626027990,270500902415353
621,642389617957008,270425943838644
622,643039012891664,273924808013535
623,643718797078122,275327419087193
624,644366321904977,278228558147622
625,644961016186388,293667068419658
626,645663709193436,290973456025445
627,646336480475633,283728307106961
628,647040108536582,281302076050438
629,647607686254841,280973611942204
630,648211263548307,277584656469141
631,648948553549714,287214992650250
632,649615246981551,290725489196638
633,650270252239619,290440446111557
634,650841102646544,295598785072662
635,651576055013197,297212777335836
636,652223112313100,298114760500153
637,652926740374050,298138264709931
638,653569555214045,299157013170586
639,654189838494914,300558268608985
640,654887425736904,304151232768676
641,655598437020049,304135244223783
642,656152988789065,304347962180347
643,656771883376022,305617694964208
644,657484283353077,306399113588599
645,658139746879725,307213559640540
646,658786878242898,307329429773939
647,659485391280831,307146655645830
648,660168165787756,306789819083049
649,660716699883149,306887092646459
650,661385587450951,307733451387189
651,662112337265103,308711820041552
652,662708549851490,308553127168493
653,663414932154924,309161263126765
654,664056045844476,307634349476466
655,664727710800101,306043670284323
656,665365121305888,303539197473152
657,666045581322957,301319194414308
658,666690398196280,299598119148294
659,667347250416840,309430988870239
660,667994672809368,313359135586134
661,668645479856591,314201828345786
662,669333410404403,313581447393371
663,669955801932664,310942644551321
664,670550236256787,308692817816180
665,671256041082650,305260115729315
666,671905014870576,303593286035744
667,672514573583814,309847063900286
668,673154839390132,312408015941847
669,673785022270366,313193574535815
670,674429412910078,312840413763088
671,675096260976062,313640311685853
672,675749817912219,313310405045782
673,676423999015373,312667079077864
674,677165094082494,313345568834732
675,677693072757391,311099738863735
676,678339754971209,310152609632281
677,679026310574548,315341388785054
678,679705533140731,320504401273925
679,680234886760123,321307057483606
680,680995231049771,320759402299221
681,681621177921283,319610926538786
682,682188399235763,318552958208728
683,682872695029549,317837850278860
684,683507075347656,317192473266272
685,684205438230045,316965824252500
686,684815314587372,316065224510118
687,685469661095763,318349856450749
