day,staked_coins
1328,526075907352871
1329,525035027848948
1330,522567481515584
1331,522599922451313
1332,523963069394344
1333,525836745569403
1334,525944834481014
1335,525263731069566
1336,524268369567316
1337,522287829756888
1338,521632928509634
1339,526404556731972
1340,527824780108794
1341,527775845404003
1342,530167897706867
1343,529151310120167
1344,530801030868230
1345,530560235680540
1346,530122556352759
1347,529086250086875
1348,529498236331199
1349,530725164585487
1350,529520521091150
1351,528322940413896
1352,532324946080697
1353,534416841607119
1354,534214224333075
1355,537305893218975
1356,538552410475298
1357,537956889545313
1358,535890718580023
1359,535475699271068
1360,532994058949466
1361,530772519699851
1362,532189288336825
1363,532511690606266
1364,532259568594911
1365,534743758566308
1366,537753773194016
1367,538561207071590
1368,536988167943374
1369,536819791360204
1370,539798845188957
1371,538224454356456
1372,537338594585081
1373,535894015081602
1374,534570425281978
1375,532537220119465
1376,530033992244350
1377,531073136137017
1378,532436959390576
1379,536980542838641
1380,541146137050847
1381,540055150228323
1382,539659624124932
1383,540380964793405
1384,542474141376551
1385,543651293439195
1386,548010300701937
1387,547730723931124
1388,545650309004516
1389,544324616413199
1390,541841896400852
1391,539543107429665
1392,540234002007531
1393,541941684053913
1394,538751360943663
1395,540594110722321
1396,542904080285767
1397,545317379841197
1398,548222600928176
1399,556990672453464
1400,559268076827291
1401,559332303524954
1402,556915575859495
1403,553705210228338
1404,551635704713029
1405,549418047779740
1406,545517065770333
1407,542331605705195
1408,541143688692225
1409,554363995522372
1410,559472205350032
1411,559681691389751
1412,559887749665704
1413,558091739812430
1414,552319920599709
1415,554760650961499
1416,556068747107253
1417,556833832668222
1418,555636790377125
1419,556188297854407
1420,558965930910242
1421,559350897257793
1422,558303472419128
1423,556855490114258
1424,555561743624149
1425,555347188018610
1426,556882936166208
1427,560500767584259
1428,561725266685426
1429,563473552518809
1430,563699323524037
1431,565138846686761
1432,566380121301015
1433,565652643950282
1434,565300070601061
1435,562141441796862
1436,560658801022973
1437,564502295382275
1438,564288933786943
1439,563356393947011
1440,566229005491965
1441,567671169610592
1442,569841023429545
1443,569457528683532
1444,568665913407755
1445,565963904335323
1446,563965875611068
1447,563242017344385
1448,562102180135281
1449,562554633412393
1450,560123620486107
1451,560534952652748
1452,562912884018825
1453,564292779275583
1454,563798881374067
1455,561632015088444
1456,560602688001003
1457,560101339599520
1458,559770662124892
1459,559306949798970
1460,557632548025166
1461,557912235982380
1462,557144497107064
1463,555845716631745
1464,555939352964380
1465,556216540415683
1466,555947731838647
1467,554732548823924
1468,553018586423432
1469,551963693753841
1470,548254520812731
1471,546799214204449
1472,547512962130036
1473,551265327838875
1474,546265051784366
1475,541349652493538
1476,543755752922245
1477,546228968607728
1478,547356255213495
1479,555887352007511
1480,556189981220137
1481,554120051321697
1482,554597304885262
1483,554974790376476
1484,553673025700185
1485,561265075108457
1486,562481342081252
1487,561014728697450
1488,559738657938445
1489,556880983768937
1490,552948554871969
1491,551854017952448
1492,557868156549883
1493,570022321924713
1494,570405170924390
1495,574020503628699
1496,572390104154595
1497,569520726983978
1498,566991087904918
1499,564468139426953
1500,562252406234348
1501,562205952408832
1502,564784584916246
1503,567759135303067
1504,567294397984627
1505,566603887328654
1506,568506115503245
1507,565441006549394
1508,566384751933694
1509,568344173376663
1510,570747922935649
1511,569970153972109
1512,568320418323673
1513,566316719184859
