day,netfund_reward
2017-02-26,758.93530675
2017-02-27,794.92605320
2017-02-28,613.92911070
2017-03-01,754.76246674
2017-03-02,740.15752613
2017-03-03,715.12048509
2017-03-04,839.78408529
2017-03-05,755.80567684
2017-03-06,619.14516054
2017-03-07,753.71925668
2017-03-08,840.30569032
2017-03-09,634.27170666
2017-03-10,786.58037314
2017-03-11,769.88901241
2017-03-12,800.66370859
2017-03-13,690.08344409
2017-03-14,726.07419057
2017-03-15,774.06185250
2017-03-16,834.56803511
2017-03-17,698.95072941
2017-03-18,703.30948815
2017-03-19,697.71127218
2017-03-20,864.52159110
2017-03-21,751.42109624
2017-03-22,662.59331026
2017-03-23,729.21414974
2017-03-24,841.28176342
2017-03-25,684.28381616
2017-03-26,945.60276788
2017-03-27,649.16585430
2017-03-28,681.70161308
2017-03-29,653.29737920
2017-03-30,809.26244522
2017-03-31,753.48685872
2017-04-01,781.37465190
2017-04-02,748.83889316
2017-04-03,713.72093124
2017-04-04,761.23346792
2017-04-05,734.37855592
2017-04-06,717.33601558
2017-04-07,741.09228392
2017-04-08,757.10194302
2017-04-09,857.74650278
2017-04-10,624.33068452
2017-04-11,707.67704122
2017-04-12,837.55418608
2017-04-13,684.66731086
2017-04-14,689.26925692
2017-04-15,763.92304890
2017-04-16,673.41810923
2017-04-17,782.33083315
2017-04-18,757.78712073
2017-04-19,714.83562402
2017-04-20,802.27259946
2017-04-21,757.27579341
2017-04-22,665.23687184
2017-04-23,368.66701355
2017-04-24,715.85827870
2017-04-25,1083.50263755
2017-04-26,659.61227112
2017-04-27,617.17210169
2017-04-28,735.28871770
2017-04-29,827.32763926
2017-04-30,738.53893603
2017-05-01,681.93854270
2017-05-02,746.23415889
2017-05-03,732.56501216
2017-05-04,740.15898260
2017-05-05,666.24433723
2017-05-06,769.01607012
2017-05-07,737.12139435
2017-05-08,702.69539518
2017-05-09,668.77566069
2017-05-10,701.17660114
2017-05-11,777.11630521
2017-05-12,752.30933517
2017-05-13,722.43971824
2017-05-14,684.46986622
2017-05-15,721.93345357
2017-05-16,647.00627889
2017-05-17,779.14136394
2017-05-18,814.07362783
2017-05-19,601.94872111
2017-05-20,718.38960068
2017-05-21,695.71796483
2017-05-22,692.73050154
2017-05-23,733.83317968
2017-05-24,645.61279743
2017-05-25,732.32942317
2017-05-26,761.90330135
2017-05-27,733.83317966
2017-05-28,737.34194491
2017-05-29,679.69794511
2017-05-30,707.76806669
2017-05-31,706.76556241
2017-06-01,733.83317972
2017-06-02,826.06357932
2017-06-03,583.95878032
2017-06-04,685.21171904
