Date,Open,High,Low,Close,Adj Close,Volume
2018-03-23,50.638500,52.763401,48.856800,52.763401,52.763401,579637
2018-03-24,53.720001,55.467201,51.183899,51.605701,51.605701,483691
2018-03-25,50.898499,53.737301,50.349701,50.559101,50.559101,437620
2018-03-26,50.552299,51.222500,46.334301,48.237301,48.237301,607113
2018-03-27,48.130299,48.791500,45.723202,45.944500,45.944500,303660
2018-03-28,45.936901,47.681900,45.728500,46.790199,46.790199,387453
2018-03-29,46.841499,47.028801,39.276600,40.368099,40.368099,778691
2018-03-30,40.456299,41.106201,37.439098,38.813900,38.813900,521679
2018-03-31,38.827801,41.290600,38.827801,39.735699,39.735699,297747
2018-04-01,39.789001,40.414902,37.249100,39.323601,39.323601,301190
2018-04-02,39.524799,41.923698,39.257999,41.757000,41.757000,850657
2018-04-03,41.789902,47.148499,41.452599,46.979000,46.979000,746749
2018-04-04,47.094101,47.171200,41.600601,42.346199,42.346199,505313
2018-04-05,42.298698,44.050598,40.661499,43.663300,43.663300,494135
2018-04-06,43.439400,45.349098,42.091099,43.855900,43.855900,584717
2018-04-07,43.971600,50.644199,43.817699,49.946800,49.946800,1273600
2018-04-08,50.018200,51.319500,49.343700,49.785801,49.785801,436551
2018-04-09,49.770100,52.611099,47.283901,48.061001,48.061001,8009390
2018-04-10,48.372002,51.190701,47.403198,51.008099,51.008099,18426200
2018-04-11,50.902500,53.428501,50.637100,52.358501,52.358501,19628500
2018-04-12,52.004700,61.410500,51.617298,61.154202,61.154202,22746200
2018-04-13,61.108299,62.099899,57.254299,57.974800,57.974800,20624700
2018-04-14,58.202400,60.327099,57.473999,59.370899,59.370899,17957400
2018-04-15,59.353298,66.240097,59.353298,63.725899,63.725899,13668600
2018-04-16,63.714802,64.397903,61.092800,62.353100,62.353100,10294400
2018-04-17,61.910599,63.054600,60.447899,60.551201,60.551201,12471900
2018-04-18,60.385101,63.012001,60.039799,61.680000,61.680000,12341300
2018-04-19,61.751499,62.968300,60.701500,62.237099,62.237099,13014000
2018-04-20,62.240101,66.914902,61.946098,66.393799,66.393799,14092000
2018-04-21,66.430702,67.977997,65.040497,67.352203,67.352203,14653500
2018-04-22,67.347198,67.347198,64.079597,64.474602,64.474602,13385700
2018-04-23,64.328796,66.953102,64.001801,65.732903,65.732903,10263300
2018-04-24,65.804703,77.739403,65.783600,75.773003,75.773003,6362940
2018-04-25,75.264503,139.938004,73.044403,77.513496,77.513496,26848000
2018-04-26,77.893303,85.032303,75.092499,85.032303,85.032303,5407210
2018-04-27,85.377998,90.009003,82.382401,83.600700,83.600700,4237940
2018-04-28,83.368103,87.732498,83.102402,86.955101,86.955101,5135870
2018-04-29,86.928101,89.037399,81.745697,83.584999,83.584999,2638380
2018-04-30,83.694397,84.349701,80.014900,83.500504,83.500504,4741180
2018-05-01,84.128304,84.128304,77.849899,81.610802,81.610802,2956840
2018-05-02,81.356903,82.262398,78.618599,81.474998,81.474998,2131860
2018-05-03,81.565399,84.312401,78.823799,83.873100,83.873100,3696320
2018-05-04,84.012199,113.333000,82.178902,91.727501,91.727501,61502000
2018-05-05,91.851196,91.851196,87.369598,87.673500,87.673500,6986510
2018-05-06,87.255302,88.278397,82.236801,86.004700,86.004700,4756920
2018-05-07,86.030403,90.381897,83.052200,87.942703,87.942703,7889200
2018-05-08,87.960197,88.068497,83.990501,85.581902,85.581902,4103950
2018-05-09,85.516800,87.529999,82.107399,85.222198,85.222198,6578610
2018-05-10,85.008301,89.808998,84.301903,86.902702,86.902702,4603580
2018-05-11,87.093697,95.407097,79.989304,86.485497,86.485497,14360400
2018-05-12,85.951302,88.202698,81.265701,85.409698,85.409698,6985510
2018-05-13,85.475403,92.720703,83.538498,91.097900,91.097900,6970770
2018-05-14,92.396896,102.276001,87.699997,102.276001,102.276001,9119440
2018-05-15,100.525002,101.883003,95.117203,97.322800,97.322800,9340530
2018-05-16,97.292397,97.292397,87.813698,92.537201,92.537201,9704700
2018-05-17,92.710899,99.460800,92.710899,93.603897,93.603897,9767830
2018-05-18,93.395302,106.774002,89.092903,104.896004,104.896004,12290000
2018-05-19,104.652000,109.316002,102.875999,107.647003,107.647003,11722300
2018-05-20,107.612000,117.928001,105.948997,111.217003,111.217003,13466200
2018-05-21,110.805000,118.883003,108.349998,116.794998,116.794998,11280600
2018-05-22,116.776001,116.776001,108.681999,109.876999,109.876999,5143210
2018-05-23,109.624001,113.511002,101.797997,103.518997,103.518997,10281200
2018-05-24,103.420998,109.455002,97.390198,103.176003,103.176003,7055820
2018-05-25,103.285004,105.192001,98.097504,101.467003,101.467003,5131480
2018-05-26,100.638000,102.263000,91.820297,92.260399,92.260399,4060300
2018-05-27,92.163002,96.962196,86.461700,91.934402,91.934402,5093040
2018-05-28,91.790901,93.673698,85.595299,89.785698,89.785698,3920820
2018-05-29,89.925102,95.609497,85.788200,93.553596,93.553596,6600080
2018-05-30,93.735397,93.932404,88.281998,90.125198,90.125198,3206320
2018-05-31,90.182404,93.928703,89.090202,93.650902,93.650902,3222580
2018-06-01,93.753098,98.306900,93.046700,96.264099,96.264099,2672030
2018-06-02,96.402397,104.067001,96.259598,102.466003,102.466003,3050550
2018-06-03,102.305000,102.439003,97.935997,98.845596,98.845596,4221290
2018-06-04,99.187698,101.231003,93.637398,99.998596,99.998596,4117270
2018-06-05,100.089996,102.345001,94.858101,101.147003,101.147003,3084330
2018-06-06,101.015999,102.122002,97.475700,100.593002,100.593002,3170820
2018-06-07,100.717003,107.796997,98.935204,107.238998,107.238998,4549470
2018-06-08,106.827003,108.975998,102.064003,108.762001,108.762001,5550290
2018-06-09,108.640999,109.844002,103.596001,103.596001,103.596001,5285790
2018-06-10,103.946999,103.946999,92.487000,93.219704,93.219704,5201470
2018-06-11,93.011902,96.327499,92.340202,95.457001,95.457001,4334400
2018-06-12,95.078903,95.422401,85.531700,86.651802,86.651802,4285480
2018-06-13,86.894600,94.597397,85.175003,86.396500,86.396500,6220090
2018-06-14,86.118202,99.272003,85.360397,99.242798,99.242798,9819660
2018-06-15,99.250999,99.502197,90.624199,91.035896,91.035896,12942100
2018-06-16,90.524803,92.225502,88.418800,90.252602,90.252602,5439200
2018-06-17,90.240898,96.973602,89.994301,91.326401,91.326401,8032430
2018-06-18,90.993202,95.950996,89.444801,93.742897,93.742897,6317070
2018-06-19,93.595596,94.900002,91.884804,92.972000,92.972000,7244000
2018-06-20,92.852600,92.861198,88.523201,91.489899,91.489899,9559960
2018-06-21,91.497200,92.854301,89.685898,90.392303,90.392303,10094600
2018-06-22,90.082497,90.922600,75.832603,77.599403,77.599403,12910600
2018-06-23,77.460297,78.989197,70.460503,72.861900,72.861900,8905860
2018-06-24,72.475601,74.940102,64.843597,73.786003,73.786003,8946690
2018-06-25,73.964203,76.233902,69.358398,74.942802,74.942802,8448140
2018-06-26,74.494003,75.228996,70.172798,71.516701,71.516701,8445780
2018-06-27,71.348000,71.759499,67.570396,69.675797,69.675797,9099940
2018-06-28,69.530602,69.825699,60.284100,60.401798,60.401798,5549540
2018-06-29,60.390202,71.709198,57.881802,69.780098,69.780098,3765720
2018-06-30,69.130302,69.918404,66.736397,67.188797,67.188797,2527450
2018-07-01,67.100998,69.309303,64.566299,68.468498,68.468498,3844910
2018-07-02,68.112198,72.305901,65.915604,70.603500,70.603500,2773440
2018-07-03,70.176697,71.699799,68.209801,69.951897,69.951897,2813280
2018-07-04,69.696297,71.507797,67.907799,69.159599,69.159599,3195770
2018-07-05,69.165100,69.761398,65.567902,66.472702,66.472702,8123940
2018-07-06,66.010300,69.312500,61.969898,66.826103,66.826103,4643210
2018-07-07,66.764503,66.992500,63.259201,65.595497,65.595497,2496810
2018-07-08,65.409698,66.007698,62.917702,63.294102,63.294102,2292290
2018-07-09,63.209499,63.964600,61.569698,62.770000,62.770000,2832510
2018-07-10,62.797298,63.452702,57.591202,58.798000,58.798000,2794750
2018-07-11,58.083000,60.481800,57.736000,59.511902,59.511902,2386530
2018-07-12,59.441601,59.686401,55.754002,57.024300,57.024300,2790220
2018-07-13,56.881001,57.924000,55.930901,57.356400,57.356400,10925200
2018-07-14,57.242802,57.821899,55.833000,57.675999,57.675999,5765040
2018-07-15,57.465099,63.699902,57.197601,63.179901,63.179901,3206810
2018-07-16,63.340401,71.598099,62.261299,71.598099,71.598099,4098650
2018-07-17,71.691399,77.472702,68.528198,76.721001,76.721001,5271680
2018-07-18,75.566597,76.990303,71.037300,72.086998,72.086998,4089090
2018-07-19,71.963203,76.767097,70.968002,73.174400,73.174400,3353710
2018-07-20,72.982002,74.309601,70.853600,72.642303,72.642303,3095920
2018-07-21,72.424004,73.685303,71.317703,72.222000,72.222000,2552970
2018-07-22,72.280701,72.997299,68.831802,70.022400,70.022400,2263450
2018-07-23,69.934402,71.468498,67.630302,67.965797,67.965797,3137300
2018-07-24,68.031898,71.077003,62.710800,67.043800,67.043800,5828840
2018-07-25,65.864304,68.095100,63.971199,66.390404,66.390404,2893070
2018-07-26,66.450798,66.711601,63.307999,64.135300,64.135300,3377060
2018-07-27,64.225098,65.034500,60.621899,63.752399,63.752399,3749360
2018-07-28,64.163696,65.137100,62.840599,64.248901,64.248901,2355340
2018-07-29,64.860100,65.123497,62.889400,63.866299,63.866299,2689740
2018-07-30,63.461601,63.880402,58.545799,60.166500,60.166500,2828940
2018-07-31,60.018398,60.018398,55.906101,56.370098,56.370098,2583760
2018-08-01,56.280300,57.317600,54.252701,57.270699,57.270699,2479770
