day,avg_block_voters,avg_block_poolsize,avg_block_difficulty,avg_hashrate
2016-08-04,5,42034,698300.91707572,9997.26533869
2016-08-05,5,41791,650578.53281307,9314.04507304
2016-08-06,5,42704,652274.55139656,9338.32622087
2016-08-07,5,42143,715155.34236956,10238.56269012
2016-08-08,5,42071,697611.86172189,9987.40043799
2016-08-09,5,41697,692828.11706085,9918.91368175
2016-08-10,5,41625,717742.15204560,10275.59689999
2016-08-11,5,41421,774651.56578771,11090.34380284
2016-08-12,5,41414,708233.04792590,10139.45926263
2016-08-13,5,41251,727637.02211555,10417.25737782
2016-08-14,5,41777,834504.35011752,11947.22964042
2016-08-15,5,41728,932398.91940543,13348.74288557
2016-08-16,5,42272,835654.93610767,11963.70207108
2016-08-17,5,41575,950421.16413221,13606.75939125
2016-08-18,5,41451,905249.62678417,12960.05847251
2016-08-19,5,41393,981447.70617253,14050.95266915
2016-08-20,5,41386,964159.99439194,13803.45214675
2016-08-21,5,41529,916780.88454259,13125.14638903
2016-08-22,5,41274,1024105.99556548,14661.67252864
2016-08-23,5,42335,863664.99327808,12364.70966943
2016-08-24,5,41694,759667.33596143,10875.82121265
2016-08-25,5,42500,947201.30505494,13560.66209313
2016-08-26,5,41668,981904.94927008,14057.49881632
2016-08-27,5,42377,890349.28407295,12746.73685703
2016-08-28,5,41831,1047925.39056807,15002.68427046
2016-08-29,5,42317,1030483.78711075,14752.98054900
2016-08-30,5,41950,852308.13265054,12202.11851950
2016-08-31,5,41977,846707.83320245,12121.94150957
2016-09-01,5,41605,978183.27960195,14004.21731795
2016-09-02,5,41516,991870.27934964,14200.16803894
2016-09-03,5,41423,885393.08444103,12675.78113926
2016-09-04,5,41332,947893.40977628,13570.57065028
2016-09-05,5,41642,1134362.05750557,16240.15979603
2016-09-06,5,41496,1020246.58733146,14606.41908815
2016-09-07,5,41860,865930.19457638,12397.13955441
2016-09-08,5,41363,917905.15549676,13141.24207896
2016-09-09,5,41770,873820.39518523,12510.10006633
2016-09-10,5,42311,962048.56629284,13773.22376464
2016-09-11,5,41842,932189.11054686,13345.73914495
2016-09-12,5,42305,1083458.36319941,15511.39412173
2016-09-13,5,42213,977413.22741968,13993.19282148
2016-09-14,5,42055,956427.78823344,13692.75357149
2016-09-15,5,42023,892243.66394908,12773.85785575
2016-09-16,5,41733,855965.63957830,12254.48142830
2016-09-17,5,41566,864008.27773936,12369.62432121
2016-09-18,5,41825,989508.42845935,14166.35446450
2016-09-19,5,41754,1040466.81175441,14895.90309686
2016-09-20,5,42469,956778.89292944,13697.78018212
2016-09-21,5,42008,868917.96252930,12439.91410657
2016-09-22,5,42785,911850.51075656,13054.56040847
2016-09-23,5,41816,1000976.84936861,14330.54277364
2016-09-24,5,42992,1003530.46025993,14367.10169119
2016-09-25,5,42326,914859.69203824,13097.64152578
