day,sum_pos_reward
2018-01-17,6712.30610024
2018-01-18,6865.06273176
2018-01-19,6582.01367923
2018-01-20,6640.42062649
2018-01-21,6456.21410029
2018-01-22,6051.85831110
2018-01-23,6379.83578463
2018-01-24,6990.86231045
2018-01-25,6379.83578463
2018-01-26,5598.08125892
2018-01-27,7503.04631006
2018-01-28,6083.30820598
2018-01-29,5988.95852184
2018-01-30,6901.00546841
2018-01-31,6816.68683232
2018-02-01,6347.80759377
2018-02-02,6530.19029268
2018-02-03,6632.50253841
2018-02-04,6556.88044374
2018-02-05,5693.89889280
2018-02-06,6717.02135010
2018-02-07,6881.61061497
2018-02-08,6134.28638529
2018-02-09,5974.14547893
2018-02-10,7037.30316282
2018-02-11,6258.84042357
2018-02-12,5934.11025234
2018-02-13,6681.43448202
2018-02-14,6810.43687881
2018-02-15,6143.18310231
2018-02-16,6196.56340443
2018-02-17,6370.04938632
2018-02-18,6334.46251824
2018-02-19,6503.50014162
2018-02-20,5876.28159171
2018-02-21,6552.43208523
2018-02-22,6851.15477110
2018-02-23,6095.57244990
2018-02-24,6161.63718018
2018-02-25,6091.16813454
2018-02-26,6218.89327983
2018-02-27,6985.24415139
2018-02-28,6042.72066564
2018-03-01,6016.29477351
2018-03-02,6496.36514682
2018-03-03,6139.61560341
2018-03-04,6029.50771956
2018-03-05,6166.04149557
2018-03-06,6610.87734627
2018-03-07,6042.72066561
2018-03-08,6465.53493960
2018-03-09,5941.42141251
2018-03-10,6804.66722187
2018-03-11,6210.08464911
2018-03-12,7676.72166195
2018-03-13,6681.34639197
2018-03-14,5487.77693103
2018-03-15,6571.60917306
2018-03-16,6445.12683190
2018-03-17,6235.81283464
2018-03-18,6152.95937740
2018-03-19,6061.38450358
2018-03-20,6161.68079396
2018-03-21,6323.02700018
2018-03-22,6527.98028912
2018-03-23,5799.74200704
2018-03-24,6179.12362704
2018-03-25,6214.00929328
2018-03-26,6623.91587120
2018-03-27,6235.81283462
2018-03-28,5804.10271526
2018-03-29,5930.56325524
2018-03-30,6728.57286972
2018-03-31,6558.50524696
2018-04-01,5415.99967874
2018-04-02,6414.60187394
2018-04-03,6523.61958086
2018-04-04,6440.76612360
2018-04-05,6605.93334464
2018-04-06,4874.49469375
2018-04-07,6847.60724912
2018-04-08,6709.44619492
2018-04-09,6083.40391804
2018-04-10,5284.66032342
2018-04-11,7236.18521409
2018-04-12,5608.47529423
2018-04-13,6666.27086545
2018-04-14,6264.74030172
2018-04-15,6018.64092389
2018-04-16,5448.72657531
2018-04-17,7093.70662695
2018-04-18,4934.94015495
2018-04-19,6035.91105567
2018-04-20,6800.11438674
2018-04-21,6459.02928418
2018-04-22,6329.50329584
2018-04-23,5690.50842014
2018-04-24,6277.69290049
2018-04-25,6718.08126081
2018-04-26,5332.68753332
