day,sum_total_reward,sum_reward
2017-03-14,7260.74190058,4862597.16066053
2017-03-15,7740.61852029,4870337.77918082
2017-03-16,8345.68034545,4878683.45952627
2017-03-17,6989.50728932,4885672.96681559
2017-03-18,7033.17234309,4892706.13915868
2017-03-19,6977.11271128,4899683.25186996
2017-03-20,8645.21589828,4908328.46776824
2017-03-21,7514.21095108,4915842.67871932
2017-03-22,6625.93309288,4922468.61181220
2017-03-23,7292.14148652,4929760.75329872
2017-03-24,8412.81762152,4938173.57092024
2017-03-25,6842.83815132,4945016.40907156
2017-03-26,9456.02766428,4954472.43673584
2017-03-27,6491.65853304,4960964.09526888
2017-03-28,6817.01612056,4967781.11138944
2017-03-29,6532.97378220,4974314.08517164
2017-03-30,8092.62444008,4982406.70961172
2017-03-31,7534.86857572,4989941.57818744
2017-04-01,7813.74650776,4997755.32469520
2017-04-02,7488.38892032,5005243.71361552
2017-04-03,7137.20930192,5012380.92291744
2017-04-04,7612.33466792,5019993.25758536
2017-04-05,7343.78554808,5027337.04313344
2017-04-06,7173.36014504,5034510.40327848
2017-04-07,7410.92282804,5041921.32610652
2017-04-08,7571.01941876,5049492.34552528
2017-04-09,8577.54172149,5058069.88724677
2017-04-10,6243.30684083,5064313.19408760
2017-04-11,7076.77040756,5071389.96449516
2017-04-12,8375.54185521,5079765.50635037
2017-04-13,6846.67310389,5086612.17945426
2017-04-14,6892.69256460,5093504.87201886
2017-04-15,7639.23048342,5101144.10250228
2017-04-16,6734.18108855,5107878.28359083
2017-04-17,7823.30832629,5115701.59191712
2017-04-18,7577.87120232,5123279.46311944
2017-04-19,7148.35623541,5130427.81935485
2017-04-20,8022.72598947,5138450.54534432
2017-04-21,7572.75792894,5146023.30327326
2017-04-22,6652.36871404,5152675.67198730
2017-04-23,3686.67013288,5156362.34212018
2017-04-24,7158.58278223,5163520.92490241
2017-04-25,10835.02636825,5174355.95127066
2017-04-26,6596.12270654,5180952.07397720
2017-04-27,6171.72101294,5187123.79499014
2017-04-28,7352.88717204,5194476.68216218
2017-04-29,8273.27638692,5202749.95854910
2017-04-30,7385.46530460,5210135.42385370
2017-05-01,6819.38543597,5216954.80928967
2017-05-02,7462.34159824,5224417.15088791
2017-05-03,7325.65013072,5231742.80101863
2017-05-04,7401.58983498,5239144.39085361
2017-05-05,6662.44338075,5245806.83423436
2017-05-06,7690.16071081,5253496.99494517
2017-05-07,7371.21395309,5260868.20889826
2017-05-08,7026.95396083,5267895.16285909
2017-05-09,6687.75661547,5274582.91947456
2017-05-10,7011.76602009,5281594.68549465
2017-05-11,7771.16306191,5289365.84855656
2017-05-12,7523.09336149,5296888.94191805
2017-05-13,7224.39719170,5304113.33910975
2017-05-14,6844.69867083,5310958.03778058
2017-05-15,7219.33454482,5318177.37232540
2017-05-16,6470.06279688,5324647.43512228
2017-05-17,7791.41364959,5332438.84877187
2017-05-18,8140.73628888,5340579.58506075
2017-05-19,6019.48721866,5346599.07227941
2017-05-20,7183.89601612,5353782.96829553
2017-05-21,6957.25484818,5360740.22314371
2017-05-22,6927.30503606,5367667.52817977
2017-05-23,7338.33181832,5375005.85999809
2017-05-24,6456.12799318,5381461.98799127
2017-05-25,7323.29425313,5388785.28224440
2017-05-26,7619.03303550,5396404.31527990
2017-05-27,7338.33181828,5403742.64709818
2017-05-28,7373.41947051,5411116.06656869
2017-05-29,6796.97947106,5417913.04603975
2017-05-30,7077.68068806,5424990.72672781
2017-05-31,7067.65564472,5432058.38237253
2017-06-01,7338.33181840,5439396.71419093
2017-06-02,8260.63581736,5447657.35000829
2017-06-03,5839.58781999,5453496.93782828
2017-06-04,6852.11721021,5460349.05503849
