day,block_count
2018-02-10,320
2018-02-11,283
2018-02-12,268
2018-02-13,303
2018-02-14,307
2018-02-15,279
2018-02-16,280
2018-02-17,288
2018-02-18,288
2018-02-19,294
2018-02-20,266
2018-02-21,296
2018-02-22,312
2018-02-23,278
2018-02-24,282
2018-02-25,278
2018-02-26,283
2018-02-27,319
2018-02-28,276
2018-03-01,275
2018-03-02,306
2018-03-03,281
2018-03-04,276
2018-03-05,281
2018-03-06,303
2018-03-07,277
2018-03-08,296
2018-03-09,271
2018-03-10,311
2018-03-11,283
2018-03-12,351
2018-03-13,305
2018-03-14,251
2018-03-15,301
2018-03-16,297
2018-03-17,288
2018-03-18,284
2018-03-19,281
2018-03-20,284
2018-03-21,291
2018-03-22,302
2018-03-23,268
2018-03-24,286
2018-03-25,286
2018-03-26,306
2018-03-27,289
2018-03-28,271
2018-03-29,278
2018-03-30,316
2018-03-31,308
2018-04-01,251
2018-04-02,297
2018-04-03,301
2018-04-04,298
2018-04-05,307
2018-04-06,227
2018-04-07,321
2018-04-08,313
2018-04-09,284
2018-04-10,246
2018-04-11,338
2018-04-12,261
2018-04-13,314
2018-04-14,292
2018-04-15,281
2018-04-16,254
2018-04-17,331
2018-04-18,230
2018-04-19,282
2018-04-20,318
2018-04-21,302
2018-04-22,297
2018-04-23,267
2018-04-24,295
2018-04-25,314
2018-04-26,249
2018-04-27,337
2018-04-28,288
2018-04-29,293
2018-04-30,265
2018-05-01,299
2018-05-02,296
2018-05-03,303
2018-05-04,269
2018-05-05,316
2018-05-06,285
2018-05-07,305
2018-05-08,275
2018-05-09,292
2018-05-10,331
2018-05-11,285
2018-05-12,269
2018-05-13,300
2018-05-14,301
2018-05-15,288
2018-05-16,301
2018-05-17,306
2018-05-18,291
2018-05-19,289
2018-05-20,289
2018-05-21,278
2018-05-22,270
2018-05-23,332
2018-05-24,300
2018-05-25,302
2018-05-26,286
2018-05-27,290
2018-05-28,310
2018-05-29,296
2018-05-30,278
2018-05-31,294
2018-06-01,298
2018-06-02,325
2018-06-03,278
2018-06-04,294
2018-06-05,263
2018-06-06,305
2018-06-07,289
2018-06-08,316
2018-06-09,290
2018-06-10,276
2018-06-11,287
2018-06-12,315
2018-06-13,283
2018-06-14,285
2018-06-15,290
2018-06-16,298
2018-06-17,320
2018-06-18,235
2018-06-19,315
2018-06-20,290
2018-06-21,282
2018-06-22,326
2018-06-23,279
2018-06-24,258
2018-06-25,299
2018-06-26,303
2018-06-27,322
2018-06-28,259
2018-06-29,318
2018-06-30,259
2018-07-01,283
2018-07-02,304
2018-07-03,275
2018-07-04,315
2018-07-05,281
2018-07-06,285
2018-07-07,303
2018-07-08,255
2018-07-09,308
2018-07-10,283
2018-07-11,285
2018-07-12,293
2018-07-13,297
2018-07-14,303
2018-07-15,287
2018-07-16,267
2018-07-17,309
2018-07-18,272
2018-07-19,296
2018-07-20,304
2018-07-21,265
2018-07-22,282
2018-07-23,324
2018-07-24,255
2018-07-25,285
2018-07-26,309
2018-07-27,298
2018-07-28,289
2018-07-29,268
2018-07-30,265
2018-07-31,319
2018-08-01,288
2018-08-02,284
2018-08-03,310
2018-08-04,290
2018-08-05,276
2018-08-06,286
2018-08-07,311
2018-08-08,258
2018-08-09,306
2018-08-10,304
2018-08-11,251
2018-08-12,276
2018-08-13,308
2018-08-14,303
2018-08-15,280
2018-08-16,265
2018-08-17,322
2018-08-18,312
2018-08-19,266
2018-08-20,301
2018-08-21,272
2018-08-22,281
2018-08-23,317
2018-08-24,288
2018-08-25,262
2018-08-26,302
2018-08-27,290
2018-08-28,282
2018-08-29,298
2018-08-30,289
2018-08-31,301
2018-09-01,281
2018-09-02,273
2018-09-03,294
2018-09-04,313
2018-09-05,254
2018-09-06,294
2018-09-07,294
2018-09-08,283
2018-09-09,290
2018-09-10,278
2018-09-11,311
2018-09-12,269
2018-09-13,300
2018-09-14,295
2018-09-15,278
2018-09-16,285
2018-09-17,309
2018-09-18,258
2018-09-19,292
2018-09-20,294
2018-09-21,265
2018-09-22,309
2018-09-23,287
2018-09-24,293
2018-09-25,275
2018-09-26,318
2018-09-27,268
2018-09-28,326
2018-09-29,276
2018-09-30,245
2018-10-01,310
2018-10-02,301
2018-10-03,302
2018-10-04,288
2018-10-05,283
2018-10-06,306
2018-10-07,265
2018-10-08,303
2018-10-09,284
2018-10-10,296
2018-10-11,296
2018-10-12,296
