day,sum_fees,difficulty,count_tx
2018-11-29,2.16283556,9085299915.28366,4375
2018-11-30,2.07250423,10531572072.40863,4472
2018-12-01,3.2242347799999997,12219209747.622915,3851
2018-12-02,1.9359083400000001,12477959101.842936,3935
2018-12-03,3.37620018,12800127466.376497,3831
2018-12-04,3.52144616,12182654533.025007,3959
2018-12-05,1.95073555,11077575503.70535,4004
2018-12-06,1.89493617,10801241846.015078,3919
2018-12-07,1.89515622,11051828237.012053,3944
2018-12-08,1.68498054,11779121522.560003,3881
2018-12-09,1.80444575,12885573744.761703,3388
2018-12-10,2.22498798,12060608508.968084,4142
2018-12-11,2.11114895,11268848270.166382,4101
2018-12-12,1.95486056,10936995964.124193,3862
2018-12-13,1.62363012,10531221648.908422,3526
2018-12-14,2.2895670200000002,9867359784.911692,4211
2018-12-15,1.81876154,9898127767.703194,3913
2018-12-16,1.81507535,9908628120.90618,3614
2018-12-17,3.14569776,9322658177.59804,4277
2018-12-18,2.28171664,9419930735.97659,4325
2018-12-19,2.24941085,10440316947.799929,4261
2018-12-20,2.02893328,11200690355.779083,3981
2018-12-21,1.71979346,11034331114.068024,3388
2018-12-22,1.93047008,10066854351.364468,3472
2018-12-23,2.14307837,9778840617.361212,4040
2018-12-24,1.86378573,10388501851.356958,3708
2018-12-25,1.9215863400000002,10456781291.193987,3922
2018-12-26,1.97753946,9871628282.466278,3996
2018-12-27,1.85354867,9985037271.378975,3916
2018-12-28,2.50811808,10638616883.228823,4390
2018-12-29,1.8108367,10337004201.450605,3258
2018-12-30,2.47563764,9041851292.786112,4616
2018-12-31,2.27884443,10290802807.680384,4334
2019-01-01,1.9566237199999998,12565263012.496147,4122
2019-01-02,1.97725316,13450532769.43279,3809
2019-01-03,2.09454886,11934287075.19255,4188
2019-01-04,2.1159318899999997,11829473838.539602,3915
2019-01-05,1.85258636,12288690240.007235,3819
2019-01-06,2.2261071299999995,13354813447.255905,4140
2019-01-07,1.68265267,14029893432.467846,3405
2019-01-08,2.18347881,13118397243.801676,4099
2019-01-09,1.97879974,14341705872.219435,4362
2019-01-10,1.90621805,15955348159.542717,3238
2019-01-11,2.39225042,13583929702.989523,3793
2019-01-12,1.68627173,11875299621.65582,3648
2019-01-13,1.84762996,12212913994.187592,3906
2019-01-14,2.19012648,13207871177.308731,3839
2019-01-15,2.08578075,14136137685.639982,4214
2019-01-16,3.51394708,14542718074.364822,3755
2019-01-17,2.3160565199999996,14285053529.419136,4452
2019-01-18,1.5724767700000002,14611440991.718327,3196
2019-01-19,2.0021223200000002,13273879494.014494,4051
2019-01-20,1.82072815,15093038981.127407,3813
2019-01-21,1.69674014,17031572687.62181,3661
2019-01-22,2.19312415,17072819778.841513,4252
2019-01-23,1.6569181400000002,16791963294.184303,3642
2019-01-24,1.76685466,17045572127.755203,3755
2019-01-25,1.91222283,17704586534.26526,4034
2019-01-26,1.62617666,18654545462.283382,3402
2019-01-27,1.95627289,17056619364.659332,4024
2019-01-28,2.0524625,15969436449.789408,3963
2019-01-29,1.8457674599999998,15452062018.487686,3617
2019-01-30,1.8231731400000002,15528183245.17478,3994
2019-01-31,1.95250357,17342611916.872475,3866
2019-02-01,1.9948528099999998,16677619846.876831,3698
2019-02-02,1.53555573,15762841931.686134,3772
2019-02-03,1.88589816,17177202325.82384,3991
2019-02-04,1.7991272299999999,18835476498.633133,3990
2019-02-05,3.61389111,18982553477.641953,3480
2019-02-06,1.6611416599999997,18002072587.51213,3844
2019-02-07,1.35227823,17919901421.559696,3779
2019-02-08,1.2270374400000001,18595853252.213013,3672
2019-02-09,1.2710493600000001,19863223226.618793,3712
2019-02-10,1.2625153500000001,20241111999.84425,3899
2019-02-11,1.32952784,22011895926.668453,4608
2019-02-12,0.9303486400000001,24499638547.644367,3466
2019-02-13,1.21475073,22175350122.68394,3387
2019-02-14,1.33907103,21423966046.151173,3692
2019-02-15,1.0064021799999998,22734056538.077045,2992
2019-02-16,1.02339958,23225031441.559788,3429
2019-02-17,1.16842243,24712114278.070118,3345
2019-02-18,1.29822215,23878296779.51613,3840
2019-02-19,1.38012688,22844918551.598526,4832
2019-02-20,4.47590104,22767251024.90521,7632
2019-02-21,1.26735028,21889349681.98444,3308
2019-02-22,1.1438937,21635053426.004017,4057
2019-02-23,0.6360734800000001,26003087668.27982,2979
