day,avg_price,avg_pool,avg_pool_dcr
2017-06-16,97.68939231,44015,2061862.50000000
2017-06-17,37.51025492,43568,2033938.44814429
2017-06-18,94.95417281,44406,2050481.23529412
2017-06-19,38.73139359,43594,2011455.45837651
2017-06-20,111.39651546,43775,2010995.44117647
2017-06-21,39.15341551,43648,1996736.50586207
2017-06-22,101.46169428,44179,2007657.70270270
2017-06-23,42.66590089,43668,1980900.53449454
2017-06-24,113.44106988,44079,1996917.78947368
2017-06-25,42.95091001,43728,1979461.41289199
2017-06-26,113.95338903,44257,1999975.44736842
2017-06-27,44.86006741,43734,1975564.78581220
2017-06-28,118.00147839,44365,2004690.90476190
2017-06-29,46.03598312,43771,1978208.53701165
2017-06-30,121.30576001,44557,2016279.93577982
2017-07-01,58.42585334,43805,1982605.17540813
2017-07-02,181.24248044,44850,2073601.66666667
2017-07-03,57.16498283,43930,2034025.55154415
2017-07-04,108.77382688,44300,2076859.81276596
2017-07-05,74.67484037,43398,2038713.19087452
2017-07-06,70.05048537,42907,2052766.04400000
2017-07-07,70.70418524,42660,2066835.17575758
2017-07-08,70.89111829,42396,2081455.39215686
2017-07-09,69.64277766,42275,2106484.40805604
2017-07-10,72.16539744,42025,2117822.29547325
2017-07-11,74.11329518,41705,2120009.77012522
2017-07-12,75.19648127,41593,2146026.07701149
2017-07-13,73.97253804,41033,2137194.49239865
2017-07-14,71.86692862,40638,2139236.25803403
2017-07-15,69.16610232,40361,2145099.50995575
2017-07-16,64.58440842,39945,2142787.23869985
2017-07-17,62.24570133,40035,2166719.08494208
2017-07-18,59.49823168,40018,2179973.08342541
2017-07-19,58.08168627,40149,2196477.30861552
2017-07-20,59.29929889,40609,2228125.22936358
2017-07-21,61.04942417,41374,2278312.41577061
2017-07-22,61.81195678,41314,2283185.94135802
2017-07-23,62.23167282,41147,2281768.56663941
2017-07-24,61.62502226,41023,2284550.27818930
2017-07-25,60.32123082,40713,2274213.38792390
2017-07-26,58.81706760,40500,2268350.35127273
2017-07-27,57.66546300,40419,2268418.32756437
2017-07-28,59.32172856,41052,2307334.33259424
2017-07-29,59.79366376,41126,2314711.74316109
2017-07-30,60.27334960,41122,2319759.16476462
2017-07-31,60.51647715,41007,2317848.24363234
2017-08-01,61.85876512,41159,2331549.68296796
2017-08-02,62.38146698,41235,2342885.27638191
2017-08-03,62.33431447,41054,2339987.28571429
2017-08-04,61.83034707,40872,2336105.59752547
2017-08-05,61.44038074,40802,2339250.14584696
2017-08-06,60.68711904,40771,2343618.44501940
2017-08-07,60.85513646,40773,2348803.88415446
2017-08-08,61.00576176,40972,2365086.01917989
2017-08-09,61.26786917,40993,2370590.37524430
2017-08-10,61.51831831,41004,2376763.08706315
2017-08-11,62.29419854,41046,2384391.29338235
2017-08-12,62.70982653,41132,2395608.65632458
2017-08-13,62.77484035,41044,2396311.52575865
2017-08-14,62.76159174,40962,2397457.61049180
2017-08-15,63.29727768,40957,2403267.50122399
2017-08-16,64.23269008,41140,2421425.15755627
2017-08-17,64.56849531,41157,2429950.09210526
2017-08-18,64.50708801,41025,2427987.63789152
2017-08-19,64.36726026,40886,2426921.87558685
2017-08-20,64.52646096,40939,2438067.13422347
2017-08-21,64.37364350,40929,2444796.70738844
2017-08-22,64.33344598,40911,2450771.37176799
2017-08-23,64.62912028,40956,2460003.56069008
2017-08-24,64.67343122,40984,2469242.86970899
2017-08-25,64.44834851,40883,2469631.90393413
2017-08-26,63.32616691,40818,2471630.96896552
2017-08-27,62.75533716,40563,2459949.26116303
2017-08-28,62.75607967,40815,2479418.10711818
2017-08-29,62.47485183,40871,2486645.66546112
2017-08-30,62.22205874,40831,2486719.62177251
2017-08-31,62.86284682,40932,2495418.72920892
2017-09-01,65.10086615,41278,2518974.28268551
2017-09-02,67.34483288,41631,2546968.95161290
2017-09-03,68.91700050,41522,2547383.03582803
2017-09-04,69.68022426,41348,2546749.95304835
2017-09-05,70.11644808,41137,2543815.18243243
2017-09-06,69.88567503,40997,2544892.68349865
2017-09-07,69.45697978,40919,2550318.73172368
2017-09-08,68.44271156,40798,2553920.63989290
2017-09-09,68.35991506,40750,2558861.25720621
2017-09-10,68.03850785,40859,2574126.96293495
2017-09-11,66.78674386,40778,2576893.21293970
2017-09-12,66.41874744,40682,2576298.62500000
2017-09-13,65.63274364,40742,2585356.46290801
2017-09-14,65.92641619,40829,2594860.96636086
2017-09-15,65.61786633,40932,2605048.89783491
2017-09-16,64.68638348,40836,2602942.67733508
